ID,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
LYB UN Equity,13492.71567,13902.44623,29713.84622,40791.99592,54765.3012,37749.1557,33003.29399,39071.07887,39689.59382,29830.00267,23537.90513,31310.92699
SBNY UW Equity,1592.941424,2203.322591,3143.82159,4327.057546,5638.389444,7001.920788,6468.633269,7038.868783,6360.225177,6466.804441,4445.218682,16509.04079
AXP UN Equity,50604.12,52488.1,63796.92,80881.92,90603.9,73018.05,58724.68,78790.66,90942.46,97107.88,80701.25,130338.34
VZ UN Equity,92124.84594,104184.1361,130053.1227,133572.2168,207444.6881,177036.6702,211903.4328,201891.527,220608.2862,249635.9349,246175.2339,223610.252
BA UN Equity,48799.76102,44951.87701,52455.73725,88349.43146,90929.1169,87862.3368,81541.72598,151852.5825,211610.7404,214124.238,93291.95762,129208.5488
CAT UN Equity,49938.41638,47746.44805,56264.45314,53072.08965,59952.65049,38054.80123,51936.89337,74194.16701,89985.37236,69806.28086,81026.97291,103844.559
JPM UN Equity,149417.7842,114422.2817,153806.0965,194312.4939,225188.4901,224438.4825,238276.6183,331393.4899,375239.3462,369132.9107,293450.5089,483747.5015
CVX UN Equity,163107.3294,184391.5395,228129.0295,233665.5211,225565.4376,148455.0552,194289.2184,223176.4365,233649.4898,224257.4415,134447.2883,195563.7365
KO UN Equity,136862.8,153428.76,170153.98,169574.4,184625,175656.11,182526.16,191832.62,196584.64,232664.04,209349.84,228993.38
DIS UN Equity,63242.646,53147.952,94104,117342,150858,164800,148576,147855,175410,231718.68,218261.55,313473.81
FLT UN Equity,,2133.381071,3780.436173,9051.235482,11911.12623,12683.22572,16116.19184,13861.03297,20197.67105,24884.16042,19856.76975,21214.56122
EXR UN Equity,1404.226804,1757.880747,3468.720964,5089.049013,5983.872813,9516.319651,9988.961268,10070.49598,10960.37605,15117.68706,13811.86335,22480.28119
XOM UN Equity,311606.97,348115.59,416920.55,375908.76,398301.75,309519.05,361950.16,347349.26,359974.68,298750.91,145147.24,249043.88
GE UN Equity,173139.1675,160682.8822,238143.873,241703.9454,257280.959,254955.0076,262030.0718,209691.0153,98201.71835,78077.92806,54574.00879,113141.0683
MPWR UW Equity,584.9901452,343.0023852,699.778208,1157.51356,1709.3162,2022.5536,3273.2105,4422.6774,5323.47624,6759.78905,12609.29256,22339.38588
IBM UN Equity,166650.3231,206104.959,234404.488,201078.5146,187867.2472,140636.865,151043.2454,134313.8131,137418.707,128789.3986,108414.9193,124592.4726
JNJ UN Equity,169671.1543,174017.0662,190367.8718,244635.7551,300314.3976,251822.571,321618.8479,349074.5098,349074.5098,338341.5846,383401.4452,422434.868
MCD UN Equity,78719.815,89857.424,92117,95728.95,92269.092,90470.246,95794.944,124905.296,128963.861,161698.101,163541.999,180157.392
MRK UN Equity,113371.8039,99798.6909,137287.4099,139333.1285,139333.1285,138402.3602,172355.2747,174571.7009,188610.9728,188610.9728,209843.6029,189677.0385
MMM UN Equity,61985.43109,50313.63965,63948.28871,80395.13237,90791.21353,87289.62308,105996.4238,125018.1419,122693.7222,94538.32768,92395.32842,101086.2667
AWK UN Equity,4068.9922,5296.83144,6550.28088,7352.83488,8645.95095,9951.68916,13321.41822,14432.23791,15887.05132,22457.01113,26262.32559,30686.79405
BAC UN Equity,131466.6204,62022.72087,95163.27172,147429.2931,179295.9911,162457.4124,158438.1761,264992.3829,290424.1228,264842.1465,208656.0785,349840.804
PFE UN Equity,137610.9631,135905.5728,182959.9522,187173.326,187255.5331,196857.0322,205535.1883,212797.2512,254745.5147,200332.82,200329.85,240880.23
PG UN Equity,167867.6099,173828.4062,189646.2303,205471.0608,226275.4227,195718.0031,240170.329,230812.4461,207359.9152,310178.844,344639.604,338302.3583
T UN Equity,169022.0057,169000.7921,215156.223,178577.8339,182719.5655,200440.0007,249376.4007,240477.7022,244136.1052,276359.6687,203135.0406,192853.8921
TRV UN Equity,23992.05,20115.744,26075.34608,30864.757,31131.716,30277.026,32543.655,33545.976,34360.179,38376.889,27404.527,37394.46
RTX UN Equity,65774.28731,63752.32839,71756.2711,98933.68747,96271.11912,78935.99318,83658.0178,92697.99643,111985.6011,117853.4757,87386.94315,128663.0147
INTC UW Equity,108299.86,109192.53,112867.21,114279.54,166400.82,136271.3,178897.25,178214.4,215831.56,220893,204654.12,220512.74
GM UN Equity,,31568.91946,35626.04261,50358,51104,48032,47655,56532,47138,52472,41426,79065
MSFT UW Equity,209683.38,209324.9,250638.72,277754.88,382701.8,353460.36,448358.4,575062.8,878361.6,1061355.02,1590936.12,2117219.2
CI UN Equity,,,13517.07737,21285.62592,23820.62406,34760.4456,33436.82689,46254.04189,50688.05,56708.744,61394.69223,66333.024
C UN Equity,113583.9399,74890.78042,95952.08712,147130.83,156988.0802,147787.7167,134592.7596,192324.7054,175198.895,150815.0374,89753.28172,139255.8748
AIG UN Equity,5283.912496,41687.65118,48407.73741,71600.0752,75831.81481,70842.87002,61885.00691,55182.24854,47098.63434,48456.173,23715.67927,45876.84524
MO UN Equity,50142.204,55133.06996,67619.14523,68709.86601,90823.98007,106660.9616,123387.2076,121108.1469,113386.8812,76406.33119,71809.31654,83694.90623
UAA UN Equity,2296.142398,3385.5818,5842.380318,8469.592381,14927.11633,20886.66125,16947.74431,7278.055495,9513.446102,9003.555258,5105.93141,9607.439373
IP UN Equity,9511.275,10162.575,15929.952,19976.32,20217.79452,15665.95787,19728.60832,23460.978,19905.75,16397.622,15936.274,21652.224
ABT UN Equity,80753.42601,79665.66586,109836.473,52563.53387,62625.83047,59996.97402,62263.96973,92878.45266,128844.5912,147966.6888,192886.1109,208887.7396
AFL UN Equity,24357.68524,16309.03305,22442.50512,28869.3629,26241.56675,24854.46971,29324.46927,32057.48625,35919.72891,38462.0016,25574.9149,34552.65021
APD UN Equity,17707.15328,16051.848,17571.75528,22505.37342,27798.39559,27475.51564,32676.52303,33018.29331,36670.02168,48901.33003,65832.26034,56701.92292
RCL UN Equity,6785.647098,4700.681418,6588.074298,8418.332304,14982.69639,19598.67506,16082.0215,25376.4492,27154.60678,22706.77712,13897.73865,22663.50352
HES UN Equity,19420.74264,17831.154,18347.90747,26108.06318,28198.71515,14322.02548,16977.22113,14899.48619,21205.79947,18428.63309,12568.67896,24192.76769
ADM UN Equity,20396.88,20381.4,17911.62,24240.72,33010.6,24911.45,24374.26,23763.09,28151.2,22875.99,25848.44,33545.59
ADP UW Equity,20699.775,23018.63,28403.172,34872.684,40027.944,37238.824,39963.42,48538.08,66019.212,69959.428,59883.057,84366.24
VRSK UW Equity,4975.752532,5681.160667,7915.59875,10927.60959,10081.12498,12498.47686,13682.72746,13686.14877,19867.91518,25879.85295,30159.47101,32326.59607
AVY UN Equity,3941.228852,2661.155133,3173.980978,4236.126276,4287.867377,5432.215968,6938.466059,8661.849056,9427.906874,9430.034767,9955.741999,17366.08961
MSCI UN Equity,3544.937003,3656.5609,4367.560318,4766.942021,5267.516875,6239.408997,7946.848095,10528.85942,15717.3425,18445.0026,29627.67338,50155.63399
BALL UN Equity,5343.523342,5040.840578,6502.577401,6491.1513,8708.606556,8475.199146,14320.67932,14448.84874,14986.59322,23968.78704,27178.49041,29224.50066
BK UN Equity,32413.07371,22542.83098,26433.89034,34673.86562,43598.73598,42789.10995,42166.59956,54293.66516,50417.76447,41692.61679,30429.91024,42810.56064
BAX UN Equity,27747.64697,31614.59168,33064.6578,35672.8942,38915.70169,17963.00402,25890.27617,34175.21053,41110.65719,,41077.66521,40267.06266
BDX UN Equity,17029.40643,15750.45583,15469.33767,19403.78468,21839.22875,27950.88413,38334.83205,44665.31367,70006.51333,68407.29613,67481.21233,69929.87852
BRK/B UN Equity,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable
BSX UN Equity,9317.376874,8870.989679,7880.282818,15717.93502,15660.06253,22069.20734,32402.3687,40042.70238,53272.643,56712.75516,54711.44469,61819.19915
BMY UN Equity,46249.66,53000.82,55417.5,75852.92,84498.18,98272,89668.96,104342.38,101314.56,82606.59,136255.4,131357.4
CTRA UN Equity,3130.358208,6456.624236,9421.724135,15717.34487,13509.91333,9047.293947,12000.83834,12372.07319,9773.879415,7167.229846,6919.346734,8696.692579
LUMN UN Equity,11943.94225,20449.18224,25175.0176,18623.93586,23335.02342,13918.7408,14995.7067,10388.4606,22908.1476,13607.26848,11071.12133,12774.8334
UDR UN Equity,3846.564353,4849.518567,6208.390338,5928.30397,6954.633411,9034.285372,9617.326474,10176.80484,10851.03022,14202.13955,9602.990909,16333.04627
CLX UN Equity,9309.233106,8749.24492,9389.477898,10541.55484,12424.46843,14878.84125,16111.6419,17006.32144,19193.07843,19059.00037,26489.20028,20346.22373
CMS UN Equity,4137.392,4987.08,6214.845,7001.12,8159.466,9787.172,11724.991,13043.712,13881.7,18149.01,17581.683,17303.781
CL UN Equity,37099.05612,42921.05766,50659.48938,54864.88095,59441.3983,56918.67374,65898.79066,63969.9655,58067.06858,63001.32061,66130.57531,63702.50407
CMA UN Equity,6556.353815,4569.339385,5942.182883,7220.506596,8983.381056,7281.046087,8142.277067,13294.38208,14967.84447,9511.56262,5319.402791,10546.01383
IPGP UW Equity,1128.301476,2064.538823,2937.782288,2907.917407,3588.140557,4009.713617,4378.64132,9919.100152,8333.904519,7191.660311,9049.953388,8443.588824
ED UN Equity,13685.56094,16700.23975,17540.09785,16152.06949,16594.12571,19592.67302,22966.5,25010.8,23695.09,31364.04,25985.2,25696.86
GLW UN Equity,28498.52,19392.84,19435.7,21111.73,24793.88,20270.08,22491.15,26000.48,27745.8,21903.36,24664.01,30542.13
CMI UN Equity,17772.216,16475.66,17381.585,25025.396,24294.448,19517.832,21477.94,28145.025,23371.2,24662.77,30898.103,32621.076
DHR UN Equity,27903.7548,28787.95152,38522.33015,48734.325,53379.912,59379.432,54214.524,59659.99,76148.928,101668.392,150938.75,216007.64
D UN Equity,25366.46,28938.9,30440.5,36238.4,40348.56,41876.1,46567.29,49542.92,46033.4,66695.92,64406.88,59146.2
DOV UN Equity,9752.306788,8638.499698,10649.36165,15303.95694,13283.55533,8860.936725,11439.74086,14237.74772,12954.83163,14462.72139,15612.15141,22389.61354
DUK UN Equity,23448.04,26626.68,45612.16,47146.68,52862.39,49494.72,55147.56,58744,57054.26,69881.94,65180.16,75046.71
ETN UN Equity,6941.5335,11864.1,15972.533,32664.58,30075.402,23741.64,29681.207,33833.674,37588.782,34374.21,40669.158,59514.966
ECL UN Equity,11766.606,11347.369,18982.849,29756.388,34460.483,32400.316,35493.552,37155.429,45293.742,57075.128,57034.336,59602.734
PKI UN Equity,2717.14268,2172.36285,3377.11465,4282.87802,4942.0875,5195.74915,6144.66221,7600.97679,10805.43249,9460.67988,13935.52368,19458.824
EMR UN Equity,39636.69784,30523.0406,34952.94856,45720.91876,43593.55479,28914.05837,35038.83667,40323.92346,48184.136,40851.46,39210.86,56124.36
EOG UN Equity,23599.51103,19090.55308,30348.72704,46199.80077,54253.04117,40015.90386,53309.31829,55929.3794,73969.02728,43179.45777,20965.44457,46957.19683
AON UN Equity,10594.899,13572.134,16664.823,22406.44,24994.717,24270.279,29641.115,36641.88,37091.736,45314.737,47283.96,63269.478
ETR UN Equity,13891.94647,11672.0561,12312.70363,11267.15456,13892.30914,11612.98068,13744.46105,13716.21097,14695.18359,23364.87731,19728.82093,19958.87065
EFX UN Equity,3850.08,3722.614,5556.994,7271.775,8998.696,11496.394,16095.768,12718.8,15746.742,17035.137,19079.04,30917.24
IT UN Equity,2830.903119,3315.759149,4316.560194,5530.51794,6466.869147,6954.028291,7311.153082,11277.2614,14406.6039,12794.45536,11171.54959,25202.57831
FMC UN Equity,4962.161901,4870.455302,7608.88548,9558.40045,7621.540931,4531.155828,6469.76735,11990.91975,11739.47686,11364.67108,13742.5805,11605.36688
BRO UN Equity,2879.96217,2552.1996,3749.30919,4668.6561,4622.04475,4365.8409,5291.35407,6723.372034,8256.59454,10186.87788,12845.13615,15660.8544
F UN Equity,42505.29845,36746.96899,37592.84728,66542.64662,56922.0869,53854.31146,47962.7355,47548.45724,36795.60631,36318.45647,26496.32622,56586.77968
NEE UN Equity,22757.88273,22825.4052,29749.59,34548.96,40931.68,44970.55,57123.44,68878.5,80112.8,113932.11,136004.4,154056.24
BEN UN Equity,23946.42035,20820.20012,26540.97425,31892.88124,34016.19164,22487.05016,20287.1772,24697.05642,15786.51748,14409.89234,10075.62438,14913.72416
FCX UN Equity,40218.69,28866.6,37561.42,34337.04,33956,11027.22,14791.32,20329.92,20170.08,13886.07,22724.92,47754.04
DXCM UW Equity,776.25196,810,1040.8275,2023.374,3055.236,6980.418,7407.27,4251.5825,12701.952,13655.46,39574.08,52990.734
GD UN Equity,23593.88374,20259.25463,23344.97557,31095.58181,42318.46993,43982.9109,47249.25338,61382.66909,60627.77784,52948.80389,39662.42085,55347.54936
GPC UN Equity,7024.473834,7907.1724,9467.620823,12485.95375,13407.05642,12496.76364,14940.65586,14023.58089,14587.87174,14469.74132,13732.04628,17275.69846
ATO UN Equity,,,3227.1843,3860.366586,4788.511988,5904.037631,7739.708803,8895.812515,10449.71157,13591.51017,12033.10598,11679.4223
GWW UN Equity,8225.916813,10430.05446,14480.58418,18165.73862,17158.33273,13500.16098,13393.61852,10242.72804,20129.49668,16006.35738,19147.1502,20250.46967
HAL UN Equity,30060.63,28078.4,31264.32,40783.05,54639.97,30224.25,38776.32,40138.16,35504.28,16512.6,10640.15,19328.28
LHX UN Equity,5660.410081,3859.502457,5785.400006,6323.550279,7080.534284,9183.513354,11367.46597,15675.95568,15675.95568,46290.06804,36345.43261,43192.74416
PEAK UN Equity,11172.05672,14296.74899,19125.51774,18668.03838,18232.6684,17300.45064,17753.77587,13053.24063,12368.19559,17631.44179,14616.3316,18047.93407
HSY UN Equity,10861.81548,13348.48658,15821.76599,20793.05011,20591.44716,20441.34054,20419.82894,22998.72851,21391.49855,32173.88251,29037.86955,35178.6414
AJG UN Equity,2795.22,2969.27,4456.008,5739.975,7321.104,7294.176,9049.773,11128.24,13674.628,16704.805,20303.034,30815.145
CNP UN Equity,6651.431089,8356.534547,9104.509019,10274.5048,10517.10396,7761.92915,10004.73949,12590.41212,11932.51934,15125.63682,10542.26497,15469.69463
HUM UN Equity,8456.323801,11891.63181,11099.39641,14551.3882,19933.01746,26532.08293,26374.50755,34805.00519,46440.50262,33857.36693,54774.80315,50019.11934
