,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,DATE,company_name
LYB UN Equity,41151000000,48183000000,45352000000,44062000000,45608000000,32735000000,29183000000,34484000000,39004000000,34727000000,27753000000,46173000000,SALES_REV_TURN,LYB UN Equity
LYB UN Equity.1,9.883113412,10.93331673,12.47795026,13.8963279,14.81099807,21.90010692,20.98481993,19.23790744,16.59316993,16.68442422,12.02392534,18.59095142,EBITDA_TO_REVENUE,LYB UN Equity
LYB UN Equity.3,1123000000,931000000,983000000,1021000000,1019000000,1047000000,1064000000,1174000000,1241000000,1312000000,1385000000,1393000000,CF_DEPR_AMORT,LYB UN Equity
LYB UN Equity.4,11138000000,-2606000000,773000000,1899000000,-2881000000,-768000000,-381000000,1902000000,-1908000000,-741000000,1820000000,-1145000000,CHNG_WORK_CAP,LYB UN Equity
LYB UN Equity.5,1.681611625,2.179191831,2.337272888,3.542735237,3.286704087,4.398961356,7.685981565,4.486138499,5.396882371,7.757652547,7.015457788,4.242739263,CAP_EXPEND_TO_SALES,LYB UN Equity
LYB UN Equity.6,-692000000,-1050000000,-1060000000,-1561000000,-1499000000,-1440000000,-2243000000,-1547000000,-2105000000,-2694000000,-1947000000,-1959000000,NET_CAP_EXP,LYB UN Equity
SBNY UW Equity,509178000,622554000,696795000,787161000,959255000,1144052000,1359901000,1506210000,1732198000,1973391000,2006894000,2311273000,SALES_REV_TURN,SBNY UW Equity
SBNY UW Equity.2,42.09478092,44.04490598,43.16874761,41.57748752,42.02497562,40.6020281,39.7177263,32.69020832,24.96365799,28.59948162,27.83873629,26.3936418,EFF_TAX_RATE,SBNY UW Equity
SBNY UW Equity.3,5783000,6111000,6931000,8220000,8904000,9044000,10086000,12193000,14007000,20147000,20684000,21005000,CF_DEPR_AMORT,SBNY UW Equity
SBNY UW Equity.5,0.661065482,1.172589044,1.226903178,1.570072704,1.414535238,1.067171772,1.222368393,1.531393365,0.663145899,1.669055955,1.746081258,1.392998577,CAP_EXPEND_TO_SALES,SBNY UW Equity
SBNY UW Equity.6,-3366000,-7300000,-8549000,-12359000,-13569000,-12209000,-16623000,-23066000,-11487000,-32937000,-35042000,-32196000,NET_CAP_EXP,SBNY UW Equity
AXP UN Equity,30005000000,32282000000,33781000000,34828000000,35895000000,34441000000,37143000000,38990000000,43281000000,47020000000,38185000000,43663000000,SALES_REV_TURN,AXP UN Equity
AXP UN Equity.1,31.00816531,31.57796915,28.61963826,31.19903526,32.62292798,30.78888534,29.18988773,27.8481662,28.55294471,27.82007656,20.78564881,31.30110162,EBITDA_TO_REVENUE,AXP UN Equity
AXP UN Equity.2,31.97518444,29.57159287,30.52239963,32.06135903,34.54565677,34.95842782,33.16339219,62.98989899,14.78699828,19.8125519,27.02513966,24.59537843,EFF_TAX_RATE,AXP UN Equity
AXP UN Equity.3,917000000,918000000,991000000,1020000000,1012000000,1043000000,1095000000,1321000000,1293000000,1188000000,1543000000,1695000000,CF_DEPR_AMORT,AXP UN Equity
AXP UN Equity.5,2.92617897,3.68316709,3.117136852,2.888480533,3.329154478,3.893615168,3.701908839,2.723775327,3.026732284,3.498511272,3.870629828,3.549916405,CAP_EXPEND_TO_SALES,AXP UN Equity
