ID,2010-12-31 00:00:00,2011-12-30 00:00:00,2012-12-31 00:00:00,2013-12-31 00:00:00,2014-12-31 00:00:00,2015-12-31 00:00:00,2016-12-30 00:00:00,2017-12-29 00:00:00,2018-12-31 00:00:00,2019-12-31 00:00:00,2020-12-31 00:00:00,2021-12-31 00:00:00
LYB UN Equity,18.56,20.49,39.43,57.07,58.08,65.72,67.62,90.43,70.81,84.55,86.79,91.19
SBNY UW Equity,46.93,56.3,66.96,100.82,118.22,143.94,140.97,128.82,97.46,131.82,133.41,322.15
AXP UN Equity,36.36,40.6,50.17,80.19,83.13,63.0,68.41,93.19,90.75,120.25,118.88,162.73
VZ UN Equity,21.14,24.99,28.28,33.54,33.36,34.57,41.72,43.38,48.26,54.94,54.87,50.72
BA UN Equity,52.12,60.02,63.15,116.65,113.68,129.67,144.34,281.05,313.37,323.83,214.06,201.32
CAT UN Equity,68.77,67.77,68.82,71.2,73.68,56.75,80.65,141.16,116.37,139.08,176.59,204.76
JPM UN Equity,31.1,24.9,33.91,46.37,50.95,55.22,74.29,94.16,87.93,129.48,122.31,156.25
CVX UN Equity,58.02,69.79,73.32,87.48,81.36,68.2,93.21,103.08,93.03,107.24,79.41,116.13
KO UN Equity,23.19,25.38,27.04,31.7,33.37,35.08,34.96,39.99,42.69,51.49,52.76,58.76
DIS UN Equity,33.03,33.58,45.26,70.31,87.79,99.14,99.8,104.55,108.33,144.63,181.18,154.89
FLT UN Equity,30.92,29.87,53.65,117.17,148.71,142.93,141.52,192.43,185.72,287.72,272.83,223.84
EXR UN Equity,12.02,17.19,26.54,31.81,45.8,71.09,64.56,76.07,81.61,98.51,111.95,225.0
XOM UN Equity,46.42,55.09,57.68,69.28,65.09,56.76,68.05,65.46,55.58,59.6,38.02,59.91
GE UN Equity,106.96,108.39,131.43,181.18,169.11,215.66,225.62,128.79,57.45,88.47,86.05,94.39
MPWR UW Equity,14.56,13.28,20.56,31.98,46.36,60.26,78.38,108.34,113.2,175.23,363.58,492.61
IBM UN Equity,94.01,119.77,126.87,126.64,110.96,98.28,123.06,118.15,91.5,113.07,111.76,130.49
JNJ UN Equity,44.7,49.12,54.45,73.3,86.01,86.99,100.33,124.83,118.43,137.64,152.53,169.98
MCD UN Equity,55.8,75.15,68.19,77.46,77.38,100.93,107.19,155.48,164.46,187.44,208.62,266.59
MRK UN Equity,23.46,25.7,29.08,36.88,43.13,41.45,47.69,46.98,65.75,80.39,74.6,75.96
MMM UN Equity,63.24,61.45,71.69,110.73,132.88,125.02,152.17,205.29,170.6,163.28,167.79,175.93
AWK UN Equity,19.63,25.52,30.78,35.73,46.25,53.13,65.66,84.71,85.83,118.26,150.04,187.3
BAC UN Equity,11.43,4.79,10.04,13.51,15.64,14.89,19.86,26.95,22.91,33.49,29.59,44.27
PFE UN Equity,10.89,14.03,16.89,21.32,22.45,24.04,25.1,29.09,36.31,33.8,34.87,58.13
PG UN Equity,45.57,48.79,51.33,63.47,73.26,65.95,72.13,81.28,84.18,117.6,134.25,161.79
T UN Equity,11.48,12.52,14.71,16.14,16.25,17.6,22.85,21.94,17.06,24.82,19.52,17.94
TRV UN Equity,42.41,46.36,57.88,74.72,89.37,97.5,108.2,122.65,110.82,129.66,136.55,155.61
RTX UN Equity,35.51,33.74,38.85,55.12,56.9,48.68,57.02,67.93,57.97,83.38,69.43,85.58
INTC UW Equity,14.9,17.79,15.66,20.5,29.56,28.91,31.44,41.14,42.88,56.05,47.82,50.71
GM UN Equity,28.49,15.67,22.28,31.59,27.94,28.36,30.47,37.33,31.71,36.16,41.64,58.63
MSFT UW Equity,21.97,20.97,22.2,32.03,40.84,50.1,57.66,81.14,98.02,154.43,220.12,335.63
CI UN Equity,35.68,40.91,52.12,85.35,100.46,142.89,130.29,198.42,185.6,199.89,203.53,228.55
C UN Equity,39.98,22.26,33.51,44.18,45.91,44.04,51.04,64.84,46.37,73.18,58.76,59.31
AIG UN Equity,39.78,19.12,29.09,42.24,46.78,52.46,56.54,52.66,35.76,47.77,36.74,56.55
MO UN Equity,13.29,16.96,18.94,24.36,32.76,40.33,48.58,53.16,38.73,41.78,37.52,46.59
UAA UN Equity,7.08,9.27,12.53,22.55,35.08,41.64,29.05,14.43,17.67,21.6,17.17,21.19
IP UN Equity,16.71,18.79,26.17,33.1,37.8,27.51,40.42,45.72,33.05,39.48,44.94,46.51
ABT UN Equity,17.87,21.76,26.17,32.53,39.07,39.8,34.89,53.05,68.46,83.58,107.02,139.69
AFL UN Equity,21.35,16.8,21.24,27.37,25.66,25.8,30.73,39.65,42.1,49.92,43.13,58.03
APD UN Equity,63.47,61.07,62.1,84.99,112.27,103.7,127.06,148.71,149.1,223.67,265.76,302.31
RCL UN Equity,39.49,20.98,29.23,41.54,73.49,91.67,75.99,112.64,94.47,132.2,74.69,76.9
HES UN Equity,64.74,48.34,45.42,71.85,64.67,43.19,56.54,44.07,38.28,64.2,51.91,73.75
ADM UN Equity,22.27,21.62,21.22,34.36,42.03,30.39,39.02,35.32,37.18,43.54,48.96,67.23
ADP UW Equity,31.09,37.35,40.6,59.03,71.09,74.01,91.98,107.2,122.48,162.54,172.06,245.36
VRSK UW Equity,33.37,39.29,49.94,64.35,62.72,75.28,79.48,94.0,106.77,147.25,205.99,228.34
AVY UN Equity,32.65,22.8,28.77,42.44,45.07,55.78,63.92,106.58,84.97,126.22,152.56,215.73
MSCI UN Equity,35.76,30.23,28.45,40.13,43.72,67.33,74.49,121.14,142.88,253.17,441.5,609.88
BALL UN Equity,15.44,16.33,20.67,24.13,32.12,34.52,35.89,36.53,44.8,63.54,92.26,96.06
BK UN Equity,23.53,15.8,20.89,28.96,34.26,35.39,41.42,47.91,42.72,46.8,40.76,57.29
BAX UN Equity,22.52,22.54,31.2,33.47,36.28,35.52,41.77,61.52,63.3,81.27,78.87,85.56
BDX UN Equity,68.23,61.62,66.08,95.34,122.29,137.73,150.44,197.44,210.5,257.24,239.86,244.37
BRK/B UN Equity,80.11,76.3,89.7,118.56,150.15,132.04,162.98,198.22,204.18,226.5,231.87,299.0
BSX UN Equity,7.57,5.34,5.73,12.02,13.25,18.44,21.63,24.79,35.34,45.22,35.95,42.48
BMY UN Equity,18.46,25.73,24.76,42.07,48.04,57.29,49.56,53.38,46.5,59.4,59.64,61.36
CTRA UN Equity,7.98,16.04,21.06,32.88,25.18,15.09,19.99,24.64,19.45,15.41,14.74,18.21
LUMN UN Equity,18.48,16.03,18.13,15.74,20.72,14.12,14.43,11.3,11.52,10.92,8.83,12.25
UDR UN Equity,15.96,17.6,17.26,17.6,24.15,30.43,30.51,33.28,35.42,43.02,36.77,59.24
CLX UN Equity,45.81,49.81,56.73,74.19,86.01,107.53,104.31,132.62,141.31,144.46,194.24,171.9
CMS UN Equity,12.78,15.83,18.21,20.74,27.92,29.96,35.61,41.67,45.11,58.66,58.48,64.16
CL UN Equity,30.73,36.29,42.07,53.68,58.2,57.29,57.54,67.83,54.81,65.0,82.66,84.38
CMA UN Equity,31.7,19.63,23.51,37.48,37.52,34.13,56.64,73.26,59.21,64.23,53.44,86.33
IPGP UW Equity,31.3,33.53,66.65,77.61,74.92,89.16,98.71,214.13,113.29,144.92,223.79,172.14
ED UN Equity,31.83,41.64,38.84,40.3,50.3,51.01,60.65,72.36,67.57,82.8,68.73,84.51
GLW UN Equity,14.77,10.05,10.03,14.54,19.08,15.59,21.24,28.59,27.65,27.37,34.91,36.98
CMI UN Equity,83.53,67.72,84.8,112.36,117.16,73.62,118.28,157.0,122.36,168.9,220.43,216.72
DHR UN Equity,34.05,34.02,40.51,56.02,62.51,68.16,75.87,91.05,101.8,152.24,221.26,328.72
D UN Equity,27.35,35.4,35.99,46.72,57.46,52.43,61.69,67.81,62.66,76.13,72.06,77.91
DOV UN Equity,31.21,31.65,36.62,54.77,49.95,43.75,54.84,75.51,67.17,111.37,124.21,181.02
DUK UN Equity,32.34,42.1,42.65,48.2,60.9,54.34,61.64,69.62,74.79,82.48,86.42,102.93
ETN UN Equity,35.8,31.57,40.61,58.52,53.71,42.58,56.97,69.25,62.29,88.93,116.49,170.89
ECL UN Equity,44.45,51.67,65.09,95.41,96.66,107.02,111.04,128.58,142.82,188.9,213.77,233.84
PKI UN Equity,24.19,18.96,30.42,39.84,42.53,52.4,51.29,72.24,77.88,96.57,143.12,200.89
EMR UN Equity,40.72,34.11,40.03,54.51,49.27,39.55,47.86,61.77,54.43,71.6,77.76,91.91
EOG UN Equity,38.38,41.64,51.4,71.79,79.2,61.36,88.38,94.99,77.26,75.08,46.07,86.9
AON UN Equity,40.7,41.9,50.39,76.84,87.83,86.43,105.87,128.62,141.02,204.02,208.85,299.46
ETR UN Equity,42.84,46.42,42.54,44.39,64.27,52.6,59.2,68.62,75.9,109.53,94.49,110.67
EFX UN Equity,30.92,34.28,48.65,63.0,74.76,104.13,111.78,112.84,90.32,137.57,191.21,292.25
IT UN Equity,33.2,34.77,46.02,71.05,84.21,90.7,101.07,123.15,127.84,154.1,160.19,334.32
FMC UN Equity,30.04,32.59,44.66,58.07,44.29,30.85,45.23,76.34,60.33,95.77,112.35,109.44
BRO UN Equity,10.47,10.04,11.45,14.29,15.18,15.02,21.29,24.73,26.79,38.75,46.92,70.05
F UN Equity,11.19,7.17,8.79,10.76,11.15,10.55,9.72,10.57,6.94,8.99,8.64,20.53
NEE UN Equity,9.4,11.46,13.51,17.29,22.12,22.29,26.39,35.47,40.54,57.85,75.24,92.85
