ID,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
LYB UN Equity,565.674,577.442,575.181,552.972,500.668,449.444,407.524,394.46,383.658,333.411,333.919,332.784
SBNY UW Equity,41.114,46.182,46.182,47.29,50.314,50.901,54.611,54.611,53.382,53.989,53.989,60.469
AXP UN Equity,1203.764,1161.482,1119.062,1071.271,1034.677,984.246,915.255,867.996,854.262,818.271,805.202,774.556
VZ UN Equity,2826.783,2831.091,2854.0,2861.751,4149.724,4068.873,4076.634,4079.441,4132.015,4135.784,4138.094,4197.76
BA UN Equity,733.581,743.234,754.077,751.453,712.93,669.984,617.166,595.579,567.885,562.791,564.53,587.699
CAT UN Equity,634.703,646.62,653.934,636.356,605.399,582.234,585.073,594.934,590.107,552.658,543.258,540.942
JPM UN Equity,3909.181,3799.766,3801.402,3759.189,3738.189,3681.13,3578.264,3469.726,3325.411,3136.485,3048.203,2955.266
CVX UN Equity,2012.428,1991.484,1957.181,1923.173,1890.424,1882.037,1887.769,1899.374,1910.774,1890.872,1925.017,1927.686
KO UN Equity,4644.067,4542.464,4485.162,4415.923,4380.113,4348.985,4312.959,4260.667,4256.514,4284.491,4297.435,4319.42
DIS UN Equity,1893.584,1796.513,1772.122,1757.28,1695.711,1653.178,1591.461,1510.312,1488.671,1802.398,1810.485,1817.656
FLT UN Equity,78.719,81.318,84.526,82.248,83.832,92.161,92.792,89.754,88.648,86.781,83.402,81.199
EXR UN Equity,87.547,94.373,108.373,115.736,116.331,123.457,125.806,126.008,126.515,129.511,129.235,133.892
XOM UN Equity,5042.557,4793.208,4559.343,4368.514,4234.529,4162.938,4146.693,4237.106,4233.807,4231.106,4228.234,4233.567
GE UN Equity,1331.84,1319.669,1310.787,1264.671,1255.274,1179.734,1105.799,1084.011,1087.264,1091.694,1094.984,1098.137
MPWR UW Equity,35.841,33.694,35.476,38.207,38.745,39.519,40.674,41.517,42.412,43.439,45.097,46.093
IBM UN Equity,1242.361,1178.618,1129.932,1085.854,989.66,970.11,950.855,925.791,908.794,885.637,891.057,896.8
JNJ UN Equity,2746.254,2730.849,2771.262,2821.438,2799.11,2766.944,2720.532,2686.52,2681.978,2631.872,2632.543,2632.597
MCD UN Equity,1056.507,1023.218,1003.977,995.03,973.204,918.23,830.444,797.186,770.91,753.093,745.111,747.245
MRK UN Equity,3080.881,3047.921,3040.072,2921.929,2850.873,2793.543,2757.137,2724.437,2600.377,2545.984,2530.034,2525.944
MMM UN Equity,714.859,700.845,691.931,665.242,640.819,615.713,601.466,595.608,582.287,575.051,576.822,571.845
AWK UN Equity,174.873,175.516,176.757,178.274,179.309,179.469,178.003,178.375,180.599,180.776,181.272,181.538
BAC UN Equity,10085.147,10135.872,10778.078,10666.134,10516.45,10412.479,10105.047,10430.614,9814.197,8995.107,8650.79,8184.084
PFE UN Equity,8009.951,7686.967,7362.574,6481.071,6300.657,6173.002,6068.355,5960.707,5780.475,5534.122,5558.397,5612.867
PG UN Equity,2799.193,2751.32,2734.23,2718.231,2702.119,2720.573,2675.992,2536.958,2491.408,2493.812,2479.606,2419.948
T UN Equity,5910.0,5926.0,5680.0,5280.0,5187.0,6152.0,6141.0,6139.0,7278.0,7305.0,7126.0,7141.0
TRV UN Equity,459.044,412.773,381.449,364.068,331.396,304.219,284.059,273.696,264.8,258.113,253.309,246.009
RTX UN Equity,923.407,906.088,916.544,917.582,911.658,887.021,823.406,798.57,863.384,863.269,1518.716,1496.778
INTC UW Equity,5578.0,5092.0,4976.0,4971.0,4835.0,4719.0,4739.0,4680.0,4564.0,4350.0,4098.0,4067.0
GM UN Equity,1500.0,1564.562,1566.02,1388.974,1606.696,1556.177,1524.344,1420.408,1411.404,1428.784,1431.308,1451.86
MSFT UW Equity,8555.523,8412.183,8416.463,8347.969,8242.853,7987.913,7775.351,7714.59,7728.915,7628.806,7560.496,7507.98
CI UN Equity,270.92,285.464,285.89,276.412,261.579,257.6,256.739,246.55,380.778,373.425,361.267,331.428
C UN Equity,2905.017,2923.708,2932.521,3033.001,3029.488,2978.99,2849.73,2644.002,2442.137,2183.194,2081.96,1984.267
AIG UN Equity,698.011,1899.224,1476.304,1472.346,1399.912,1237.012,1027.135,898.959,884.648,869.952,861.526,830.298
MO UN Equity,2087.827,2056.423,2025.106,2004.41,1976.47,1960.679,1950.271,1908.19,1879.045,1868.127,1858.419,1836.989
UAA UN Equity,307.972,322.054,332.611,342.534,352.044,360.232,183.739,185.131,187.616,188.202,188.534,188.646
IP UN Equity,437.456,437.071,439.145,443.623,423.614,414.567,411.213,412.928,405.028,392.116,393.095,387.263
ABT UN Equity,1545.816,1557.796,1580.668,1546.186,1505.791,1491.72,1472.31,1740.601,1756.333,1768.456,1772.362,1768.287
AFL UN Equity,942.523,933.575,937.814,932.181,901.173,853.477,816.204,786.299,761.279,734.018,702.445,661.528
APD UN Equity,214.275,210.464,207.625,211.276,214.022,215.49,217.434,218.817,219.549,220.486,221.049,221.684
RCL UN Equity,215.226,217.262,218.101,219.939,222.673,219.995,214.582,214.089,208.996,209.631,224.339,254.79
HES UN Equity,337.355,339.9,341.547,337.575,298.969,286.097,316.621,317.754,296.253,304.706,307.077,309.727
ADM UN Equity,638.893,667.981,658.566,657.97,643.788,596.74,575.4,559.25,560.644,556.686,556.389,559.441
ADP UW Equity,493.212,488.698,485.474,481.425,482.057,461.207,451.173,443.49,437.732,432.698,428.814,421.384
VRSK UW Equity,144.618,163.54,166.798,168.232,164.92,169.428,167.451,164.692,164.62,163.87,162.59,161.161
AVY UN Equity,109.417,106.197,99.593,96.616,91.101,91.102,88.992,88.036,86.71,83.503,83.418,82.796
MSCI UN Equity,118.776,120.568,122.095,118.404,112.03,102.676,94.124,90.069,88.033,84.707,82.895,82.447
BALL UN Equity,353.282,325.286,307.704,289.267,273.844,272.642,349.612,350.056,339.191,327.13,327.112,323.894
