company_name,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
ATO UN Equity,-2758389757.905424,3398854658.22367,-8323743744.614187,-1646813184.70014,-859953145.5380254,-6842546174.328281,-11951695872.929949,4147292161.961438,-14939994112.314074,-388831232.3866076,-10142834687.488419,-25073455104.95398
GWW UN Equity,6983604226.05226,8287643648.599451,16871057409.82658,14210592774.42734,9288126468.931839,3957841920.154456,13712156676.542908,16784844801.070415,15119239169.626398,11947411460.845387,21373913093.761734,16712269824.452993
SWKS UW Equity,3946565639.1956487,2928332801.506899,5149794307.925597,6865692672.809616,9074542592.892513,13253554176.662594,20069933056.685287,21638955009.160454,6056415232.088299,12178849792.91683,12269563905.635345,29805834245.193474
DGX UN Equity,12072869891.020166,2672578565.087364,21833392129.05886,11403563008.215767,4876843008.408552,22255218691.403282,15034628097.823072,8767031296.348015,6462879744.090432,28639586304.977043,73726441474.6274,38499311616.1943
EW UN Equity,6258094080.241358,7667890176.936266,7435470848.782373,17359519744.69198,31324424194.76606,5175064581.941816,17673820166.085182,-1301800959.8167205,14903826436.99217,43126136835.2451,15331110912.025198,22332463109.395935
ATVI UW Equity,8171255811.999075,33542232066.981163,1835391465472.5583,16720773120.534885,14878881793.813147,-17827876862.00122,71136782340.59686,25183395841.51716,69385791488.02205,56391378947.63725,271416745985.92282,89936535553.11224
HUM UN Equity,39744544768.06553,47376992257.1922,30004299776.9661,39688976384.50325,96929689600.18806,18833082371.71897,38467340289.66304,43052275722.72592,19703128065.415344,84736538626.48767,73939638273.13792,24116826118.656494
ROK UN Equity,6853380098.424458,11303878659.63366,7880278016.17218,15045269508.929844,13609412608.1978,13618806786.267216,5326008324.295385,10582165506.683285,-10932391932.227613,18801108993.595463,12316444676.665058,5651343361.882984
ITW UN Equity,20449695749.300423,34507177989.158775,35999635462.94409,4551917568.2686825,30265860097.82718,22255249408.587067,12359049218.73221,31697248256.68525,8266397696.155566,56889561090.44468,31025784834.478462,22369558529.40156
TT UN Equity,31281104897.310715,-5724891135.552827,18410610689.374153,13585430532.751476,9499152384.501648,-1270104058.9083366,28167829504.18681,14952542208.277977,24067141634.50389,58162866177.24054,-311150591.2401095,10552819713.220848
IPG UN Equity,3826722816.042597,613187584.1833467,12686733312.809498,-9356808190.013077,14728181762.507341,3678740480.8753552,4269363200.4863787,13154674690.690544,17457328129.08711,9977958403.474358,22223773698.104305,28320747522.79145
WM UN Equity,16407404546.060429,9254209536.501453,18211506176.780945,8849860609.330158,45348917249.13551,20095143936.440285,20595374089.96427,37258778626.77356,31825352710.576702,111548581888.2314,-25196537855.19667,31197044736.487385
J UN Equity,2779455491.817554,-2204047360.2463436,14499434498.615406,8405473280.318678,-3006226429.43575,9465856.383594224,3009816576.387418,1928603652.2484746,5378215939.683067,269139969.16821235,14215108608.220413,2378956802.028342
